Reference,Qty,Category,Value,Manufacturer,MPN,Verified_Pins,Tier,Proposed_Package,LCSC_Search_Key,Blocker_Or_Note,LCSC_ID,JLC_DEVICE_UUID,JLC_SYMBOL,JLC_SYMBOL_UUID,JLC_FOOTPRINT,JLC_FOOTPRINT_UUID,DECISION
C208,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C301,1,Capacitor,TBD C / DNP,TBD,TBD,2,BLOCKED_VALUE,待定,,D13,,,,,,,
C302,1,Capacitor,TBD C / DNP,TBD,TBD,2,BLOCKED_VALUE,待定,,D13,,,,,,,
C303,1,Capacitor,TBD C / DNP,TBD,TBD,2,BLOCKED_VALUE,待定,,D13,,,,,,,
C304,1,Capacitor,TBD C / DNP,TBD,TBD,2,BLOCKED_VALUE,待定,,D13,,,,,,,
C305,1,Capacitor,TBD C / DNP,TBD,TBD,2,BLOCKED_VALUE,待定,,D13,,,,,,,
C306,1,Capacitor,TBD C / DNP,TBD,TBD,2,BLOCKED_VALUE,待定,,D13,,,,,,,
C307,1,Capacitor,TBD C / DNP,TBD,TBD,2,BLOCKED_VALUE,待定,,D13,,,,,,,
C308,1,Capacitor,TBD C / DNP,TBD,TBD,2,BLOCKED_VALUE,待定,,D13,,,,,,,
C321,1,Capacitor,220u low ESR,TBD,TBD,2,PASSIVE_BY_VALUE,待定,,大容量/低 ESR，0402 不可行，D13,,,,,,,
C322,1,Capacitor,220u low ESR,TBD,TBD,2,PASSIVE_BY_VALUE,待定,,大容量/低 ESR，0402 不可行，D13,,,,,,,
C323,1,Capacitor,22u,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),22u 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C324,1,Capacitor,22u,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),22u 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C325,1,Capacitor,22u,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),22u 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C326,1,Capacitor,22u,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),22u 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C327,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C328,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C329,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C330,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C401,1,Capacitor,100n VDDIO,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n VDDIO 0402,D13：最终封装待确认,,,,,,,
C402,1,Capacitor,100n VDD,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n VDD 0402,D13：最终封装待确认,,,,,,,
C403,1,Capacitor,1u local,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u local 0402,D13：最终封装待确认,,,,,,,
C404,1,Capacitor,100n RTC,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n RTC 0402,D13：最终封装待确认,,,,,,,
C601,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C602,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C603,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C604,1,Capacitor,10u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),10u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C605,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C606,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C607,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C608,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C609,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C610,1,Capacitor,220n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),220n 0402,D13：最终封装待确认,,,,,,,
C611,1,Capacitor,220n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),220n 0402,D13：最终封装待确认,,,,,,,
C612,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C613,1,Capacitor,10u 10V,TBD,TBD,2,PASSIVE_BY_VALUE,0603 或 0805 (建议),10u 10V 0603 或 0805,10u/22u 在 0402 内容量偏紧，D13,,,,,,,
C614,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C701,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C702,1,Capacitor,1u,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1u 0402,D13：最终封装待确认,,,,,,,
C703,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C711,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
C712,1,Capacitor,100n,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100n 0402,D13：最终封装待确认,,,,,,,
J1,1,Connector,POGO_4_LOGICAL,TBD,TBD,4,BLOCKED_PART,待定,,D11,,,,,,,
J2,1,Connector,J_SIM Nano SIM,TBD,TBD,0,BLOCKED_PART,待定,,D03,,,,,,,
J4,1,Connector,SPEAKER CONTACTS,TBD,TBD,0,BLOCKED_PART,待定,,D11,,,,,,,
J5,1,Connector,BATTERY + NTC,TBD,TBD,0,BLOCKED_PART,待定,,D09,,,,,,,
J6,1,Connector,MOTOR CONNECTOR,TBD,TBD,0,BLOCKED_PART,待定,,D11,,,,,,,
D2,1,ESD,SIM ESD ARRAY TBD,TBD,TBD,0,BLOCKED_VALUE,待定,,D03,,,,,,,
D3,1,ESD,POGO UART ESD,TBD,TBD,0,BLOCKED_PART,待定,,D13,,,,,,,
D4,1,ESD,USB ESD TBD,TBD,TBD,0,BLOCKED_VALUE,待定,,D13,,,,,,,
D5,1,ESD,USB ESD TBD,TBD,TBD,0,BLOCKED_VALUE,待定,,D13,,,,,,,
FB1,1,Ferrite bead,Audio ferrite bead option,TBD,TBD,0,PASSIVE_BY_VALUE,待定,,D13,,,,,,,
U1,1,IC,ESP32-S3-PICO-1-N8R8,Espressif,ESP32-S3-PICO-1-N8R8,57,IC_LCSC_BY_MPN,LGA56 + GND57 / 7x7,ESP32-S3-PICO-1-N8R8,land pattern 需按 D07 二次审核后建库,,,,,,,多个精确命中，需选型：C9900057109=ESP32-S3-PICO-1-N8R8; C7545129=ESP32-S3-PICO-1-N8R8_C7545129
U10,1,IC,PAM8302A,Diodes Incorporated,PAM8302A,8,IC_LCSC_BY_MPN,TBD,PAM8302A,land pattern 需按 D07 二次审核后建库,,,,,,,无精确命中，需选型：C9900017693=PAM8302AAYCR/PDFN-8_L3.1-W3.1-P0.65-BL-EP; C112137=PAM8302AADCR/SOP-8_L4.9-W3.9-P1.27-LS6.0-BL; C4990730=PAM8302AAYCR/U-DFN3030-8_L3.0-W3.0-P0.65-BL-EP; C113367=PAM8302AASCR/MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL
U11,1,IC,DRV2605LDGSR,Texas Instruments,DRV2605LDGSR,10,IC_LCSC_BY_MPN,DGS VSSOP10,DRV2605LDGSR,land pattern 需按 D07 二次审核后建库,C527464,48daf58e49ea45f298afbc7b5f197490,DRV2605LDGSR,7af5af7288fd4cfeb520d48525a8f58b,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,352e9d9423984cf2a5de83a2ea9bd494,精确命中 DRV2605LDGSR；唯一候选，待封装二次核对（D07）
U2,1,IC,SIM8230C,TBD,TBD,0,BLOCKED_PART,待定,,D01,,,,,,,
U3,1,IC,BMI270,Bosch Sensortec,BMI270,14,IC_LCSC_BY_MPN,LGA14 / 2.5x3,BMI270,land pattern 需按 D07 二次审核后建库,C2836813,cfe0716fdc914a4bbcb3d0e4b159b11e,BMI270,0525f090985c452ca53a8ab4fedcb56e,LGA-14_L3.0-W2.5-P0.50-BR,8c460b0f0d5f4008a73fbd6cd2ad99e2,精确命中 BMI270；唯一候选，待封装二次核对（D07）
U4,1,IC,RV-3028-C7,Micro Crystal,RV-3028-C7,8,IC_LCSC_BY_MPN,C7 / 3.2x1.5,RV-3028-C7,land pattern 需按 D07 二次审核后建库,C2829066,375d9eb672224e44b18f949ce6139aa6,RV-3028-C7,8e2d2523c8c84ff5ba9215f10092152f,DFN-8_L3.2-W1.5-P0.9-BL,0e6f3a134f1a4ecbb148405f6442af6c,精确命中 RV-3028-C7；唯一候选，待封装二次核对（D07）
U5,1,IC,MAX17048G+,Analog Devices,MAX17048G+,9,IC_LCSC_BY_MPN,TDFN8 + EP,MAX17048G+,land pattern 需按 D07 二次审核后建库,C2682616,3fc7026b3d874cf0bc17a35fb31deabf,MAX17048G+T10,a35797f60cfe4b5a8719fa79ee771f4d,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,2c6125140a7f4f7e895de1075aa2914e,库内料号为 MAX17048G+T10（MAX17048G+ 的包装后缀），按卷带料号采用
U6,1,IC,BQ24074RGTR,Texas Instruments,BQ24074RGTR,17,IC_LCSC_BY_MPN,RGT 16 + EP,BQ24074RGTR,land pattern 需按 D07 二次审核后建库,C54313,545dcdc0f45c4d469fd830849b0edb06,BQ24074RGTR,b25a91f2be88422986c33afebd215acd,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,2acf4ae43e1643c9bcfc4472e2176fc0,精确命中 BQ24074RGTR；唯一候选，待封装二次核对（D07）
U7,1,IC,TPS63070RNMR,Texas Instruments,TPS63070RNMR,15,IC_LCSC_BY_MPN,RNM 15,TPS63070RNMR,land pattern 需按 D07 二次审核后建库,C109322,4e262f00c2f944d3a07b8f91cd807987,TPS63070RNMR,45084536032c46b0b6a1fbb04d5d2f07,VQFN-15_L3.0-W2.5-P0.50-BL,30ffd733094b4aaeb5482411d7dd745f,精确命中 TPS63070RNMR；唯一候选，待封装二次核对（D07）
U8,1,IC,TLV75518PDBVR,Texas Instruments,TLV75518PDBVR,5,IC_LCSC_BY_MPN,DBV SOT23-5,TLV75518PDBVR,land pattern 需按 D07 二次审核后建库,C2877863,65a134e5ac5841cfa34d1f8cf5ca3e1e,TLV75518PDBVR,340f4c574873418393e48f8844904533,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,c65512e222f74539b9aedd26f1ca303e,精确命中 TLV75518PDBVR；唯一候选，待封装二次核对（D07）
U9,1,IC,ES8311,Everest Semiconductor,ES8311,20,IC_LCSC_BY_MPN,TBD,ES8311,land pattern 需按 D07 二次审核后建库,C962342,fe5e5027dfd04b5daa94f470f98cba94,ES8311,8a06b04ec0fe40519de87afec200c550,WQFN-20_L3.0-W3.0-P0.40-BL-EP1.7,3cec98ac294d4065ba5bfc19541e228c,精确命中 ES8311；唯一候选，待封装二次核对（D07）
L101,1,Inductor,1.5uH / Isat TBD,TBD,TBD,2,BLOCKED_VALUE,待定,,D13,,,,,,,
J3,1,LCD connector,J_LCD_GENERIC,TBD,TBD,0,BLOCKED_PART,待定,,D02,,,,,,,
U12,1,Level translator,MODEM IO TRANSLATOR TBD,TBD,TBD,0,BLOCKED_VALUE,待定,,D12,,,,,,,
ANT1,1,RF connector,RF CONNECTOR TBD,TBD,TBD,0,BLOCKED_VALUE,待定,,D13,,,,,,,
ANT2,1,RF connector,RF CONNECTOR TBD,TBD,TBD,0,BLOCKED_VALUE,待定,,D13,,,,,,,
ANT3,1,RF connector,RF CONNECTOR TBD,TBD,TBD,0,BLOCKED_VALUE,待定,,D13,,,,,,,
ANT4,1,RF connector,RF CONNECTOR TBD,TBD,TBD,0,BLOCKED_VALUE,待定,,D13,,,,,,,
R101,1,Resistor,1.78k 1%,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1.78k 1% 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R102,1,Resistor,1.62k 1%,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1.62k 1% 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R103,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R104,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R105,1,Resistor,470k 1%,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),470k 1% 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R106,1,Resistor,150k 1%,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),150k 1% 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R107,1,Resistor,100k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R108,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R109,1,Resistor,100k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R201,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R202,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R203,1,Resistor,4.7k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),4.7k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R204,1,Resistor,4.7k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),4.7k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R205,1,Resistor,0R / tune SI,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),0R 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R206,1,Resistor,0R / tune SI,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),0R 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R301,1,Resistor,0R,TBD,TBD,2,PASSIVE_BY_VALUE,待定,,RF 匹配/天线未定，D10/D13,,,,,,,
R302,1,Resistor,0R,TBD,TBD,2,PASSIVE_BY_VALUE,待定,,RF 匹配/天线未定，D10/D13,,,,,,,
R303,1,Resistor,0R,TBD,TBD,2,PASSIVE_BY_VALUE,待定,,RF 匹配/天线未定，D10/D13,,,,,,,
R304,1,Resistor,0R,TBD,TBD,2,PASSIVE_BY_VALUE,待定,,RF 匹配/天线未定，D10/D13,,,,,,,
R401,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R402,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R601,1,Resistor,100k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),100k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R701,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R711,1,Resistor,1k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R712,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R713,1,Resistor,1k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R714,1,Resistor,10k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),10k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R801,1,Resistor,1k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
R802,1,Resistor,1k,TBD,TBD,2,PASSIVE_BY_VALUE,0402 (建议),1k 0402,D13：最终封装与耐压/公差待确认,,,,,,,
SW1,1,Switch,SOS NO,TBD,TBD,2,BLOCKED_PART,待定,,D11,,,,,,,
SW2,1,Switch,AI NO,TBD,TBD,2,BLOCKED_PART,待定,,D11,,,,,,,
D1,1,TVS,POGO INPUT TVS,TBD,TBD,0,BLOCKED_PART,待定,,D13,,,,,,,
TP1,1,Test point,TP_5V,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP10,1,Test point,TP_I2C_SDA,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP11,1,Test point,TP_MODEM_TX,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP12,1,Test point,TP_MODEM_RX,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP13,1,Test point,TP_MODEM_PWRKEY,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP14,1,Test point,TP_ESP_USB_DP,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP15,1,Test point,TP_ESP_USB_DM,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP16,1,Test point,TP_MODEM_USB_DP,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP17,1,Test point,TP_MODEM_USB_DM,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP18,1,Test point,TP_RESET,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP19,1,Test point,TP_BOOT,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP2,1,Test point,TP_VBAT,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP20,1,Test point,TP_CHG_STATUS,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP21,1,Test point,TP_PGOOD,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP3,1,Test point,TP_VBAT_MODEM,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP4,1,Test point,TP_3V3,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP5,1,Test point,TP_1V8,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP6,1,Test point,TP_GND,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP7,1,Test point,TP_UART_TX,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP8,1,Test point,TP_UART_RX,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
TP9,1,Test point,TP_I2C_SCL,PCB fabricator,PCB feature,1,PCB_FEATURE,PCB 焊盘,,非采购件：嘉立创侧画成 1.0mm 铜盘 + 网络标签,,,,,,,
NTC1,1,Thermistor,10k NTC in battery pack,TBD,TBD,0,PASSIVE_BY_VALUE,待定,,D09,,,,,,,
ESIM1,1,eSIM,eSIM option,TBD,TBD,0,BLOCKED_PART,待定,,D11,,,,,,,
