Reference,Quantity,Category,Manufacturer,MPN,Value,Package,KiCad Footprint,Datasheet,DNP,Alternative,Notes
C605,1,Capacitor,TBD,TBD,1u,TBD,TBD,,No,TBD; requires re-review,DAC reference bypass
C606,1,Capacitor,TBD,TBD,1u,TBD,TBD,,No,TBD; requires re-review,ADC reference bypass
C607,1,Capacitor,TBD,TBD,1u,TBD,TBD,,No,TBD; requires re-review,VMID / mic bias reference
C608,1,Capacitor,TBD,TBD,1u,TBD,TBD,,No,TBD; requires re-review,mic input AC coupling
C609,1,Capacitor,TBD,TBD,1u,TBD,TBD,,No,TBD; requires re-review,mic input AC coupling
C610,1,Capacitor,TBD,TBD,220n,TBD,TBD,,No,TBD; requires re-review,DAC to amp AC coupling
C611,1,Capacitor,TBD,TBD,220n,TBD,TBD,,No,TBD; requires re-review,DAC to amp AC coupling
C612,1,Capacitor,TBD,TBD,1u,TBD,TBD,,No,TBD; requires re-review,PAM8302A VDD decoupling
C613,1,Capacitor,TBD,TBD,10u 10V,TBD,TBD,,No,TBD; requires re-review,PAM8302A VDD reservoir
C614,1,Capacitor,TBD,TBD,1u,TBD,TBD,,No,TBD; requires re-review,shutdown release delay
R601,1,Resistor,TBD,TBD,100k,TBD,TBD,,No,TBD; requires re-review,shutdown pull-up
U11,1,IC,Texas Instruments,DRV2605LDGSR,DRV2605LDGSR,DGS VSSOP10,TBD,https://www.ti.com/lit/ds/symlink/drv2605l.pdf,No,TBD; requires re-review,"Motor selection/calibration TBD; enable uses removable pull-up, not spare MCU GPIO; Electrical draft; land-pattern release pending"
J6,1,Connector,TBD,TBD,MOTOR CONNECTOR,TBD,TBD,,No,TBD; requires re-review,NOT RELEASED: no pin-bearing symbol; LRA/ERM voltage/current and actual connector required
C701,1,Capacitor,TBD,TBD,1u,TBD,TBD,,No,TBD; requires re-review,
C702,1,Capacitor,TBD,TBD,1u,TBD,TBD,,No,TBD; requires re-review,
C703,1,Capacitor,TBD,TBD,100n,TBD,TBD,,No,TBD; requires re-review,
R701,1,Resistor,TBD,TBD,10k,TBD,TBD,,No,TBD; requires re-review,
SW1,1,Switch,TBD,TBD,SOS NO,TBD,TBD,,No,TBD; requires re-review,Logical contacts only; physical switch footprint/pin map TBD
R711,1,Resistor,TBD,TBD,1k,TBD,TBD,,No,TBD; requires re-review,
R712,1,Resistor,TBD,TBD,10k,TBD,TBD,,No,TBD; requires re-review,
C711,1,Capacitor,TBD,TBD,100n,TBD,TBD,,No,TBD; requires re-review,
SW2,1,Switch,TBD,TBD,AI NO,TBD,TBD,,No,TBD; requires re-review,Logical contacts only; physical switch footprint/pin map TBD
R713,1,Resistor,TBD,TBD,1k,TBD,TBD,,No,TBD; requires re-review,
R714,1,Resistor,TBD,TBD,10k,TBD,TBD,,No,TBD; requires re-review,
C712,1,Capacitor,TBD,TBD,100n,TBD,TBD,,No,TBD; requires re-review,
J1,1,Connector,TBD,TBD,POGO_4_LOGICAL,Physical pogo pattern TBD,TBD,,No,TBD; requires re-review,Numbering is user-defined. UART at connector has series resistors.; Electrical draft; land-pattern release pending
R801,1,Resistor,TBD,TBD,1k,TBD,TBD,,No,TBD; requires re-review,
R802,1,Resistor,TBD,TBD,1k,TBD,TBD,,No,TBD; requires re-review,
D3,1,ESD,TBD,TBD,POGO UART ESD,TBD,TBD,,No,TBD; requires re-review,NOT RELEASED: no pin-bearing symbol; Select clamps compatible with 3V3 factory UART
TP1,1,Test point,PCB fabricator,PCB feature,TP_5V,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_5V; net VBUS_5V
TP2,1,Test point,PCB fabricator,PCB feature,TP_VBAT,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_VBAT; net VBAT
TP3,1,Test point,PCB fabricator,PCB feature,TP_VBAT_MODEM,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_VBAT_MODEM; net VBAT_MODEM
TP4,1,Test point,PCB fabricator,PCB feature,TP_3V3,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_3V3; net +3V3_SYS
TP5,1,Test point,PCB fabricator,PCB feature,TP_1V8,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_1V8; net +1V8
TP6,1,Test point,PCB fabricator,PCB feature,TP_GND,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_GND; net GND
TP7,1,Test point,PCB fabricator,PCB feature,TP_UART_TX,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_UART_TX; net UART0_TX
TP8,1,Test point,PCB fabricator,PCB feature,TP_UART_RX,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_UART_RX; net UART0_RX
TP9,1,Test point,PCB fabricator,PCB feature,TP_I2C_SCL,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_I2C_SCL; net I2C_SCL
TP10,1,Test point,PCB fabricator,PCB feature,TP_I2C_SDA,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_I2C_SDA; net I2C_SDA
TP11,1,Test point,PCB fabricator,PCB feature,TP_MODEM_TX,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_MODEM_TX; net MODEM_TX
TP12,1,Test point,PCB fabricator,PCB feature,TP_MODEM_RX,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_MODEM_RX; net MODEM_RX
TP13,1,Test point,PCB fabricator,PCB feature,TP_MODEM_PWRKEY,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_MODEM_PWRKEY; net MODEM_PWRKEY
TP14,1,Test point,PCB fabricator,PCB feature,TP_ESP_USB_DP,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_ESP_USB_DP; net ESP_USB_DP
TP15,1,Test point,PCB fabricator,PCB feature,TP_ESP_USB_DM,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_ESP_USB_DM; net ESP_USB_DM
TP16,1,Test point,PCB fabricator,PCB feature,TP_MODEM_USB_DP,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_MODEM_USB_DP; net MODEM_USB_DP
TP17,1,Test point,PCB fabricator,PCB feature,TP_MODEM_USB_DM,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_MODEM_USB_DM; net MODEM_USB_DM
TP18,1,Test point,PCB fabricator,PCB feature,TP_RESET,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_RESET; net ESP_EN
TP19,1,Test point,PCB fabricator,PCB feature,TP_BOOT,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_BOOT; net ESP_BOOT
TP20,1,Test point,PCB fabricator,PCB feature,TP_CHG_STATUS,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_CHG_STATUS; net CHG_STATUS
TP21,1,Test point,PCB fabricator,PCB feature,TP_PGOOD,1.0mm copper disc,project:TestPad_1mm,,No,TBD; requires re-review,Fixture name TP_PGOOD; net PGOOD
D4,1,ESD,TBD,TBD,USB ESD TBD,TBD,TBD,,No,TBD; requires re-review,"Required protection for ESP_USB_DP, ESP_USB_DM, GND; no pin-bearing symbol until selected"
D5,1,ESD,TBD,TBD,USB ESD TBD,TBD,TBD,,No,TBD; requires re-review,"Required protection for MODEM_USB_DP, MODEM_USB_DM, GND; no pin-bearing symbol until selected"
NTC1,1,Thermistor,TBD,TBD,10k NTC in battery pack,TBD,TBD,,No,TBD; requires re-review,Off-board actual cell temperature sensing; B curve and thresholds TBD
FB1,1,Ferrite bead,TBD,TBD,Audio ferrite bead option,TBD,TBD,,Yes,TBD; requires re-review,Not connected until codec power circuit confirmed; impedance/current TBD
ESIM1,1,eSIM,TBD,TBD,eSIM option,TBD,TBD,,Yes,TBD; requires re-review,Logical future option only; no shared populated SIM stubs or guessed pin map
